Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover
UNL,2025-06-04,46201,46923,46003,46923,0.91 %,60.00,"2,773,360.00"
UNL,2025-06-03,46500,46500,46500,46500,-0.49 %,20.00,"930,000.00"
UNL,2025-06-02,48572,48572,46730,46730,-1.87 %,40.00,"1,896,340.00"
UNL,2025-05-28,47620,47620,47620,47620,2.00 %,10.00,"476,200.00"
UNL,2025-05-27,47637,47637,46687,46687,-0.04 %,70.00,"3,277,910.00"
UNL,2025-05-26,47648,47648,46705,46706,-0.02 %,40.00,"1,877,660.00"
UNL,2025-05-25,46717,46717,46714,46714,0.03 %,30.00,"1,401,470.00"
UNL,2025-05-22,48450,48450,46700,46700.25,-2.91 %,60.00,"2,827,330.00"
UNL,2025-05-21,47434,48098,47434,48098,3.43 %,70.00,"3,346,960.00"
UNL,2025-05-19,47230,47980,46505,46505,0.43 %,66.00,"3,103,530.00"
UNL,2025-05-18,47225,47225,46305,46305,0.01 %,30.00,"1,400,300.00"
UNL,2025-05-15,46300,46300,46300,46300,0.11 %,37.00,"1,713,100.00"
UNL,2025-05-13,46400,46400,46050,46250,-0.32 %,50.00,"2,310,000.00"
UNL,2025-05-11,46500,46900,46400,46400,-1.07 %,60.00,"2,791,000.00"
UNL,2025-05-08,47430,47430,46900,46900,0.86 %,20.00,"943,300.00"
UNL,2025-05-07,46500,46501,46500,46500,-0.21 %,50.00,"2,325,010.00"
UNL,2025-05-06,46600,46600,46600,46600,0.34 %,10.00,"466,000.00"
UNL,2025-05-05,46510,46510,46444,46444,-2.00 %,30.00,"1,394,540.00"
UNL,2025-05-04,47420,47420,47325,47390,1.91 %,110.00,"5,210,340.00"
UNL,2025-04-28,46500,46650,46500,46500,-1.04 %,50.00,"2,327,500.00"
UNL,2025-04-27,46500,46990,46500,46990,0.94 %,60.00,"2,794,900.00"
UNL,2025-04-24,46551.5,46551.5,46551.5,46551.5,0.00 %,10.00,"465,515.00"
UNL,2025-04-23,47348,47348,46403,46551.5,0.11 %,30.00,"1,404,510.00"
UNL,2025-04-22,46061,46500,46061,46500,-1.06 %,20.00,"925,610.00"
UNL,2025-04-21,47000,47398,46901.1,47000,-1.05 %,40.00,"1,882,991.00"
UNL,2025-04-20,46502,47500,46502,47500,0.42 %,60.00,"2,823,019.00"
UNL,2025-04-17,46500,47300,46500,47300,1.72 %,40.00,"1,873,000.00"
UNL,2025-04-16,45530,46500.2,45530,46500.2,0.11 %,30.00,"1,380,312.00"
UNL,2025-04-15,46500,46500,46450,46450,-0.33 %,20.00,"929,500.00"
UNL,2025-04-13,46500,47100,46500,46603.1,0.22 %,40.00,"1,868,051.00"
UNL,2025-04-10,46200,46500,46200,46500,0.65 %,22.00,"1,019,400.00"
UNL,2025-04-09,46600,46600,46200,46200,-0.86 %,40.00,"1,860,000.00"
UNL,2025-04-08,46300,46600,46000,46600,0.65 %,80.00,"3,719,000.00"
UNL,2025-04-07,46350,46350,46300,46300,-0.11 %,50.00,"2,316,500.00"
UNL,2025-04-03,46350,46350,46350,46350,0.75 %,10.00,"463,500.00"
UNL,2025-04-02,46500,46500,46005,46005,-1.17 %,20.00,"925,050.00"
UNL,2025-04-01,46000,47480,46000,46550,1.19 %,50.00,"2,338,100.00"
UNL,2025-03-30,46000,46003,46000,46003,0.00 %,30.00,"1,380,050.00"
UNL,2025-03-27,45800,46002,45751,46002,0.00 %,50.00,"2,291,530.00"
UNL,2025-03-26,46001,46001,46001,46001,-0.43 %,10.00,"460,010.00"
UNL,2025-03-25,45600,46200,45600,46200,-0.65 %,30.00,"1,379,000.00"
UNL,2025-03-24,46500,46500,46500,46500,-0.85 %,19.00,"883,500.00"
UNL,2025-03-23,46015,46900,46015,46900,0.64 %,21.00,"976,050.00"
UNL,2025-03-20,46750,47000,46400,46601,-0.42 %,116.00,"5,417,639.00"
UNL,2025-03-19,46660,46799,46649,46799,2.29 %,50.00,"2,334,580.00"
UNL,2025-03-18,45800.2,45951,45750,45750,-0.66 %,48.00,"2,200,622.00"
UNL,2025-03-17,46054,46054,46054,46054,2.00 %,10.00,"460,540.00"
UNL,2025-03-16,45911.2,46590,45152,45152,0.31 %,120.00,"5,450,852.00"
UNL,2025-03-12,45380,45380,45011,45011,-0.81 %,40.00,"1,811,510.00"
UNL,2025-03-11,45380,45380,45380,45380,-1.99 %,10.00,"453,800.00"
UNL,2025-03-10,46500,47244,46301,46301,-1.49 %,114.00,"5,304,770.00"
UNL,2025-03-09,46035,47000,46000,47000,1.08 %,94.00,"4,366,544.00"
UNL,2025-03-06,47736,47736,46000,46500,-0.64 %,100.00,"4,648,673.00"
UNL,2025-03-05,46800,46800,46800,46800,0.00 %,1.00,"46,800.00"
UNL,2025-03-04,46800,46800,46800,46800,-0.43 %,10.00,"468,000.00"
UNL,2025-03-03,47889,47889,47000,47000,0.00 %,60.00,"2,828,952.00"
UNL,2025-03-02,47000,47000,47000,47000,1.08 %,15.00,"705,000.00"
UNL,2025-02-27,46921,46921,46500,46500,1.08 %,30.00,"1,400,210.00"
UNL,2025-02-25,45571,46010,45571,46002.1,-1.07 %,65.00,"2,981,541.00"
UNL,2025-02-24,47000,47938,46500,46500,0.00 %,75.00,"3,518,270.00"
UNL,2025-02-20,46950,47000,46500,46500,-1.06 %,60.00,"2,809,010.00"
UNL,2025-02-18,47100,47100,47000,47000,0.00 %,20.00,"941,000.00"
UNL,2025-02-17,47500,47500,47000,47000,0.00 %,30.00,"1,415,000.00"
UNL,2025-02-16,47000,47001,46501,47000,-0.84 %,50.00,"2,345,020.00"
UNL,2025-02-13,47000,47400,47000,47400,0.85 %,30.00,"1,414,000.00"
UNL,2025-02-12,47940,47940,46800,47000,0.00 %,50.00,"2,357,400.00"
UNL,2025-02-10,47000,47000,46999,47000,0.43 %,65.00,"3,054,990.00"
UNL,2025-02-09,46922,46922,46050,46799,1.73 %,40.00,"1,866,930.00"
UNL,2025-02-06,46500,46500,46002,46002,0.00 %,51.00,"2,361,962.00"
UNL,2025-02-05,45701,46002,45701,46002,-1.07 %,20.00,"917,030.00"
UNL,2025-02-04,46500,46500,46500,46500,-0.89 %,20.00,"930,000.00"
UNL,2025-02-03,46500,46918,46000,46918,-0.00 %,60.00,"2,801,540.00"
UNL,2025-02-02,45600,46920,45600,46920,0.90 %,63.00,"2,917,690.00"
UNL,2025-01-28,46000,46500,46000,46500,1.09 %,30.00,"1,385,000.00"
UNL,2025-01-27,46000,46000,46000,46000,-0.43 %,110.00,"5,060,000.00"
UNL,2025-01-26,46200,46200,46200,46200,0.43 %,35.00,"1,619,250.00"
UNL,2025-01-23,47490,47490,46000,46000,-1.67 %,40.00,"1,865,704.00"
UNL,2025-01-22,46489,46800,45865.1,46782,-0.04 %,111.00,"5,168,597.10"
UNL,2025-01-21,46900,46900,46800,46800,-0.21 %,60.00,"2,813,000.00"
UNL,2025-01-20,46918,47856,46898.9,46900,1.96 %,80.00,"3,761,897.00"
UNL,2025-01-19,46580,46650,44803,46000,0.70 %,50.00,"2,300,330.00"
UNL,2025-01-16,46699,46699,44925,45678,-0.26 %,40.00,"1,830,680.00"
UNL,2025-01-15,45798,45798,45798,45798,2.00 %,10.00,"457,980.00"
UNL,2025-01-13,45492,45492,43800,44900,0.67 %,429.00,"18,956,340.00"
UNL,2025-01-12,45300,45300,44600,44600,-1.00 %,30.00,"1,352,000.00"
UNL,2025-01-09,45200,45200,45050,45050,0.00 %,40.00,"1,806,500.00"
UNL,2025-01-08,45000,45050,45000,45050,0.11 %,60.00,"2,701,000.00"
UNL,2025-01-07,45000,45000,45000,45000,-1.10 %,30.00,"1,350,000.00"
UNL,2025-01-06,45090,46000,45090,45500,1.15 %,40.00,"1,816,900.00"
UNL,2025-01-05,44200,44982,44100,44982,-0.04 %,50.00,"2,214,830.00"
UNL,2025-01-02,45000,45000,44500,45000,0.00 %,45.00,"2,012,500.00"
UNL,2025-01-01,45000,45000,45000,45000,-1.10 %,100.00,"4,500,000.00"
UNL,2024-12-31,45001,45500,44900,45500,-0.55 %,170.00,"7,674,510.00"
UNL,2024-12-29,46000,46000,45750,45750,-0.54 %,40.00,"1,837,500.00"
UNL,2024-12-26,46000,46000,46000,46000,0.00 %,120.00,"5,520,000.00"
UNL,2024-12-24,48593.4,48593.4,46000,46000,-7.23 %,100.00,"4,669,774.00"
UNL,2024-12-23,46000,50597,46000,49585.1,7.80 %,100.00,"4,815,671.00"
UNL,2024-12-22,46200,46200,45500,45998,-1.08 %,60.00,"2,748,380.00"
UNL,2024-12-19,46500,46500,46500,46500,1.09 %,10.00,"465,000.00"
UNL,2024-12-17,45600,46001,45600,46000,-0.97 %,40.00,"1,836,010.00"
UNL,2024-12-16,46452,46452,45552,46450,-2.00 %,30.00,"1,384,540.00"
UNL,2024-12-12,47400,47400,47400,47400,1.28 %,10.00,"474,000.00"
UNL,2024-12-11,46800,46800,46800,46800,-0.26 %,10.00,"468,000.00"
UNL,2024-12-10,46920,46920,46920,46920,2.00 %,10.00,"469,200.00"
UNL,2024-12-08,46000,46000,46000,46000,-0.36 %,30.00,"1,380,000.00"
UNL,2024-12-05,46500,46500,46165,46167,-1.35 %,60.00,"2,776,780.00"
UNL,2024-12-04,46500,46800,46500,46800,0.64 %,20.00,"933,000.00"
UNL,2024-12-03,46500,46900,46500,46501,0.00 %,50.00,"2,334,010.00"
UNL,2024-12-02,46500,46500,46500,46500,1.06 %,10.00,"465,000.00"
UNL,2024-12-01,46013,46013,45100,46010,-2.00 %,130.00,"5,916,530.00"
UNL,2024-11-28,46710,46950,46600,46950,-0.11 %,60.00,"2,804,600.00"
UNL,2024-11-27,47400,47500,46700,47000,0.43 %,130.00,"6,105,010.00"
UNL,2024-11-26,46500,47000,46500,46800,0.65 %,70.00,"3,280,999.00"
UNL,2024-11-25,47938.6,47938.6,46250,46500,-1.06 %,156.00,"7,326,319.60"
UNL,2024-11-24,46890,47500,46890,46999,2.17 %,40.00,"1,887,790.00"
UNL,2024-11-21,46700,46700,46000,46000,-1.50 %,50.00,"2,307,000.00"
UNL,2024-11-20,46996.7,46996.7,46700,46700,-1.01 %,30.00,"1,406,932.00"
UNL,2024-11-19,47200,47200,47174.9,47174.9,1.23 %,30.00,"1,415,749.00"
UNL,2024-11-17,47799.9,47799.9,46500,46600,-0.85 %,172.00,"8,041,759.00"
UNL,2024-11-14,47000,47500,46411,47000,-0.63 %,120.00,"5,672,150.00"
UNL,2024-11-13,47600,47980.8,47040,47300,-1.46 %,316.00,"14,940,821.60"
UNL,2024-11-12,48600,48750,48000,48000,0.00 %,100.00,"4,816,510.00"
UNL,2024-11-11,48200.1,48530,48000,48000,0.00 %,100.00,"4,816,411.00"
UNL,2024-11-10,47600,48928.9,47600,48000,0.00 %,50.00,"2,411,278.00"
UNL,2024-11-06,48950,48950,47971,48000,0.00 %,170.00,"8,169,510.00"
UNL,2024-11-05,48959.6,48959.6,48000,48000,0.00 %,182.00,"8,758,596.00"
